Precinct,REP Ron Estes,DEM Laura Lombard,Write-in Totals,Total Votes Cast
101,519,583,2,1104
102,502,461,1,964
103,67,134,0,201
104,22,45,0,67
105,218,465,2,685
106,334,869,2,1205
107,561,907,2,1470
108,314,628,1,943
109,375,749,1,1125
110,633,837,1,1471
111,196,177,1,374
112,386,824,1,1211
113,133,710,0,843
114,87,632,2,721
116,100,881,1,982
117,85,870,1,956
118,202,984,2,1188
119,305,723,3,1031
120,363,702,0,1065
121,433,457,1,891
122,656,1021,3,1680
123,108,142,0,250
126,157,103,1,261
127,299,238,2,539
128,495,615,0,1110
129,119,142,0,261
130,256,422,3,681
133,18,20,0,38
205,148,238,0,386
206,161,202,0,363
207,878,1068,2,1948
208,202,174,0,376
209,396,650,1,1047
210,554,740,1,1295
211,371,324,0,695
212,701,554,1,1256
213,876,656,4,1536
214,911,499,1,1411
215,1102,928,3,2033
216,622,522,0,1144
217,865,553,1,1419
218,1356,1050,1,2407
221,545,362,0,907
222,1153,694,1,1848
223,1159,676,1,1836
224,1054,1070,1,2125
225,1061,1038,2,2101
226,1597,941,2,2540
227,742,374,0,1116
228,1358,541,3,1902
233,313,232,1,546
235,153,198,0,351
236,573,276,1,850
238,33,12,0,45
239,51,14,0,65
240,95,73,0,168
241,97,46,0,143
242,168,84,0,252
246,37,26,0,63
247,204,118,1,323
301,255,247,1,503
302,455,492,1,948
303,225,285,2,512
304,210,261,1,472
305,643,714,1,1358
306,590,939,1,1530
307,252,423,2,677
308,430,674,6,1110
309,544,749,1,1294
310,260,395,5,660
311,254,206,1,461
312,210,242,1,453
313,629,710,1,1340
314,626,509,3,1138
315,510,404,3,917
316,758,401,1,1160
317,9,10,0,19
318,90,54,0,144
319,135,199,0,334
320,84,153,0,237
321,12,25,0,37
324,191,227,1,419
325,474,436,1,911
326,81,38,0,119
328,29,19,0,48
329,0,0,0,0
401,427,253,0,680
402,402,210,0,612
403,632,242,0,874
404,765,712,2,1479
405,472,496,0,968
406,490,428,3,921
407,57,44,0,101
408,424,415,1,840
409,274,236,1,511
410,1634,615,2,2251
412,1639,791,4,2434
413,1116,633,2,1751
414,348,180,1,529
416,722,286,2,1010
417,419,379,1,799
418,627,492,0,1119
419,538,394,2,934
420,573,422,3,998
422,406,252,0,658
423,532,380,4,916
424,212,184,0,396
425,1034,582,1,1617
426,29,7,0,36
429,290,273,1,564
433,292,161,1,454
437,288,178,1,467
503,777,670,2,1449
504,457,410,1,868
506,866,523,1,1390
507,805,505,1,1311
508,771,482,0,1253
509,729,423,0,1152
510,1135,416,2,1553
512,2258,1114,1,3373
513,899,421,0,1320
514,1133,654,0,1787
515,937,581,0,1518
516,560,370,0,930
517,538,406,2,946
518,781,430,1,1212
519,765,513,1,1279
522,844,372,0,1216
523,848,389,0,1237
524,1245,658,3,1906
525,870,557,0,1427
526,984,557,1,1542
527,1013,491,2,1506
530,1129,414,1,1544
531,1533,663,0,2196
534,121,41,0,162
538,354,121,0,475
539,837,377,1,1215
601,399,768,1,1168
602,735,691,0,1426
603,659,224,1,884
604,825,598,1,1424
605,259,214,0,473
606,226,226,0,452
607,536,1027,0,1563
608,293,735,1,1029
609,702,1121,3,1826
610,703,573,1,1277
611,371,356,2,729
612,926,742,1,1669
613,671,620,1,1292
614,296,376,1,673
615,484,1027,2,1513
616,466,318,0,784
617,160,308,3,471
618,703,552,1,1256
619,707,528,0,1235
621,202,70,0,272
622,1114,469,1,1584
623,1071,424,2,1497
624,48,79,0,127
627,57,40,0,97
AF,711,190,0,901
AT01,17,1,0,18
AT02,111,44,0,155
AT03,466,103,0,569
AT05,199,55,0,254
AT06,73,5,0,78
AT08,48,14,0,62
AT12,48,16,0,64
BA01,958,597,3,1558
BA02,733,613,1,1347
BA03,916,689,0,1605
DB11,1069,484,1,1554
DB12,566,327,0,893
DB14,536,253,0,789
DB15,19,7,0,26
DB21,545,287,1,833
DB22,738,407,2,1147
DB23,876,417,0,1293
DB24,215,109,1,325
DB25,49,42,0,91
DB31,201,92,1,294
DB32,622,302,1,925
DB36,862,432,3,1297
DB37,140,96,1,237
DB41,373,231,2,606
DB42,1549,611,3,2163
EA,436,142,1,579
ER,44,13,0,57
GA,956,162,0,1118
GD,310,48,0,358
GN01,663,194,0,857
GO,939,328,2,1269
GO04,61,11,0,72
GO05,713,279,0,992
GR,423,105,0,528
GY01,1427,425,2,1854
GY02,36,36,2,74
GY03,36,16,0,52
GY04,8,5,0,13
HA11,608,291,2,901
HA21,735,347,2,1084
HA24,46,14,0,60
HA25,23,4,0,27
HA31,876,393,2,1271
HA33,30,11,0,41
HA41,639,271,0,910
HA42,236,73,0,309
IL01,920,206,1,1127
KE02,3,3,0,6
KE03,677,325,0,1002
KE04,36,16,0,52
KE07,19,3,0,22
KE08,13,3,0,16
LI,277,61,0,338
MI01,944,342,1,1287
MI02,351,185,2,538
MI03,14,8,0,22
MI05,1,4,0,5
MI07,16,11,0,27
MI08,20,11,0,31
MI09,177,91,2,270
MI12,2,0,0,2
MI14,74,50,0,124
MO,1112,274,4,1390
MV01,513,206,0,719
MV02,1341,532,1,1874
MV06,65,26,0,91
NI,1067,315,0,1382
NI01,239,47,0,286
OH01,625,152,0,777
PA01,302,75,1,378
PA02,141,35,1,177
PA05,1648,777,1,2426
PA06,46,18,0,64
PC11,495,224,1,720
PC13,244,85,0,329
PC21,651,354,0,1005
PC22,26,5,0,31
PC31,460,247,3,710
PC41,321,187,0,508
PC43,216,150,0,366
President,0,0,0,0
PY01,574,189,0,763
RI01,43,16,0,59
RI03,230,163,1,394
RI06,96,43,0,139
RI07,261,222,2,485
RO01,388,119,1,508
RO03,267,78,0,345
RO04,15,3,0,18
SA01,869,246,2,1117
SA02,622,208,0,830
SH,909,143,0,1052
UN01,1153,212,0,1365
UN02,78,13,0,91
VA,493,152,0,645
VC11,639,246,1,886
VC21,661,239,0,900
VC31,562,190,0,752
VC32,26,8,0,34
VC41,599,237,1,837
VC42,199,44,0,243
VI,234,47,0,281
WA01,63,12,0,75
WA02,222,62,0,284
WA03,13,7,0,20
WA12,2,0,0,2
Totals,130038,90494,227,220759
